net,initial,unsafe,oracle_states_exhausted,agrees
conservative_00,"[0, 0]",False,1,True
conservative_00,"[0, 1]",False,2,True
conservative_00,"[0, 2]",False,3,True
conservative_00,"[0, 3]",False,4,True
conservative_00,"[0, 4]",False,5,True
conservative_00,"[0, 5]",True,6,True
conservative_00,"[0, 6]",True,7,True
conservative_00,"[1, 0]",False,1,True
conservative_00,"[1, 1]",False,2,True
conservative_00,"[1, 2]",False,3,True
conservative_00,"[1, 3]",False,4,True
conservative_00,"[1, 4]",True,5,True
conservative_00,"[1, 5]",True,6,True
conservative_00,"[2, 0]",False,1,True
conservative_00,"[2, 1]",False,3,True
conservative_00,"[2, 2]",False,4,True
conservative_00,"[2, 3]",True,5,True
conservative_00,"[2, 4]",True,6,True
conservative_00,"[3, 0]",False,3,True
conservative_00,"[3, 1]",False,4,True
conservative_00,"[3, 2]",True,5,True
conservative_00,"[3, 3]",True,6,True
conservative_00,"[4, 0]",False,4,True
conservative_00,"[4, 1]",True,5,True
conservative_00,"[4, 2]",True,6,True
conservative_00,"[5, 0]",True,5,True
conservative_00,"[5, 1]",True,6,True
conservative_00,"[6, 0]",True,6,True
conservative_01,"[0, 0]",False,1,True
conservative_01,"[0, 1]",False,1,True
conservative_01,"[0, 2]",True,1,True
conservative_01,"[0, 3]",True,1,True
conservative_01,"[0, 4]",True,1,True
conservative_01,"[0, 5]",True,1,True
conservative_01,"[0, 6]",True,1,True
conservative_01,"[1, 0]",False,1,True
conservative_01,"[1, 1]",False,1,True
conservative_01,"[1, 2]",True,1,True
conservative_01,"[1, 3]",True,1,True
conservative_01,"[1, 4]",True,1,True
conservative_01,"[1, 5]",True,1,True
conservative_01,"[2, 0]",False,1,True
conservative_01,"[2, 1]",False,1,True
conservative_01,"[2, 2]",True,1,True
conservative_01,"[2, 3]",True,1,True
conservative_01,"[2, 4]",True,1,True
conservative_01,"[3, 0]",False,1,True
conservative_01,"[3, 1]",False,1,True
conservative_01,"[3, 2]",True,1,True
conservative_01,"[3, 3]",True,1,True
conservative_01,"[4, 0]",False,1,True
conservative_01,"[4, 1]",False,1,True
conservative_01,"[4, 2]",True,1,True
conservative_01,"[5, 0]",False,1,True
conservative_01,"[5, 1]",False,1,True
conservative_01,"[6, 0]",False,1,True
conservative_02,"[0, 0]",False,1,True
conservative_02,"[0, 1]",True,2,True
conservative_02,"[0, 2]",True,3,True
conservative_02,"[0, 3]",True,4,True
conservative_02,"[0, 4]",True,5,True
conservative_02,"[0, 5]",True,6,True
conservative_02,"[0, 6]",True,7,True
conservative_02,"[1, 0]",False,1,True
conservative_02,"[1, 1]",True,2,True
conservative_02,"[1, 2]",True,3,True
conservative_02,"[1, 3]",True,4,True
conservative_02,"[1, 4]",True,5,True
conservative_02,"[1, 5]",True,6,True
conservative_02,"[2, 0]",False,1,True
conservative_02,"[2, 1]",True,2,True
conservative_02,"[2, 2]",True,3,True
conservative_02,"[2, 3]",True,4,True
conservative_02,"[2, 4]",True,5,True
conservative_02,"[3, 0]",False,1,True
conservative_02,"[3, 1]",True,2,True
conservative_02,"[3, 2]",True,3,True
conservative_02,"[3, 3]",True,4,True
conservative_02,"[4, 0]",False,1,True
conservative_02,"[4, 1]",True,2,True
conservative_02,"[4, 2]",True,3,True
conservative_02,"[5, 0]",False,1,True
conservative_02,"[5, 1]",True,2,True
conservative_02,"[6, 0]",False,1,True
conservative_03,"[0, 0]",False,1,True
conservative_03,"[0, 1]",False,1,True
conservative_03,"[0, 2]",False,2,True
conservative_03,"[0, 3]",True,3,True
conservative_03,"[0, 4]",True,4,True
conservative_03,"[0, 5]",True,5,True
conservative_03,"[0, 6]",True,6,True
conservative_03,"[1, 0]",False,2,True
conservative_03,"[1, 1]",False,2,True
conservative_03,"[1, 2]",True,3,True
conservative_03,"[1, 3]",True,4,True
conservative_03,"[1, 4]",True,5,True
conservative_03,"[1, 5]",True,6,True
conservative_03,"[2, 0]",False,3,True
conservative_03,"[2, 1]",True,3,True
conservative_03,"[2, 2]",True,4,True
conservative_03,"[2, 3]",True,5,True
conservative_03,"[2, 4]",True,6,True
conservative_03,"[3, 0]",True,4,True
conservative_03,"[3, 1]",True,4,True
conservative_03,"[3, 2]",True,5,True
conservative_03,"[3, 3]",True,6,True
conservative_03,"[4, 0]",True,5,True
conservative_03,"[4, 1]",True,5,True
conservative_03,"[4, 2]",True,6,True
conservative_03,"[5, 0]",True,6,True
conservative_03,"[5, 1]",True,6,True
conservative_03,"[6, 0]",True,7,True
conservative_04,"[0, 0]",False,1,True
conservative_04,"[0, 1]",False,2,True
conservative_04,"[0, 2]",True,3,True
conservative_04,"[0, 3]",True,4,True
conservative_04,"[0, 4]",True,5,True
conservative_04,"[0, 5]",True,6,True
conservative_04,"[0, 6]",True,7,True
conservative_04,"[1, 0]",False,1,True
conservative_04,"[1, 1]",False,2,True
conservative_04,"[1, 2]",True,3,True
conservative_04,"[1, 3]",True,4,True
conservative_04,"[1, 4]",True,5,True
conservative_04,"[1, 5]",True,6,True
conservative_04,"[2, 0]",False,1,True
conservative_04,"[2, 1]",False,2,True
conservative_04,"[2, 2]",True,3,True
conservative_04,"[2, 3]",True,4,True
conservative_04,"[2, 4]",True,5,True
conservative_04,"[3, 0]",False,1,True
conservative_04,"[3, 1]",False,2,True
conservative_04,"[3, 2]",True,3,True
conservative_04,"[3, 3]",True,4,True
conservative_04,"[4, 0]",False,1,True
conservative_04,"[4, 1]",False,2,True
conservative_04,"[4, 2]",True,3,True
conservative_04,"[5, 0]",False,1,True
conservative_04,"[5, 1]",False,2,True
conservative_04,"[6, 0]",False,1,True
conservative_05,"[0, 0]",False,1,True
conservative_05,"[0, 1]",True,2,True
conservative_05,"[0, 2]",True,3,True
conservative_05,"[0, 3]",True,4,True
conservative_05,"[0, 4]",True,5,True
conservative_05,"[0, 5]",True,6,True
conservative_05,"[0, 6]",True,7,True
conservative_05,"[1, 0]",False,1,True
conservative_05,"[1, 1]",True,2,True
conservative_05,"[1, 2]",True,3,True
conservative_05,"[1, 3]",True,4,True
conservative_05,"[1, 4]",True,5,True
conservative_05,"[1, 5]",True,6,True
conservative_05,"[2, 0]",True,1,True
conservative_05,"[2, 1]",True,2,True
conservative_05,"[2, 2]",True,3,True
conservative_05,"[2, 3]",True,4,True
conservative_05,"[2, 4]",True,5,True
conservative_05,"[3, 0]",True,1,True
conservative_05,"[3, 1]",True,2,True
conservative_05,"[3, 2]",True,3,True
conservative_05,"[3, 3]",True,4,True
conservative_05,"[4, 0]",True,1,True
conservative_05,"[4, 1]",True,2,True
conservative_05,"[4, 2]",True,3,True
conservative_05,"[5, 0]",True,1,True
conservative_05,"[5, 1]",True,2,True
conservative_05,"[6, 0]",True,1,True
conservative_06,"[0, 0]",False,1,True
conservative_06,"[0, 1]",False,2,True
conservative_06,"[0, 2]",True,3,True
conservative_06,"[0, 3]",True,4,True
conservative_06,"[0, 4]",True,5,True
conservative_06,"[0, 5]",True,6,True
conservative_06,"[0, 6]",True,7,True
conservative_06,"[1, 0]",False,1,True
conservative_06,"[1, 1]",True,2,True
conservative_06,"[1, 2]",True,3,True
conservative_06,"[1, 3]",True,4,True
conservative_06,"[1, 4]",True,5,True
conservative_06,"[1, 5]",True,6,True
conservative_06,"[2, 0]",False,1,True
conservative_06,"[2, 1]",True,2,True
conservative_06,"[2, 2]",True,3,True
conservative_06,"[2, 3]",True,4,True
conservative_06,"[2, 4]",True,5,True
conservative_06,"[3, 0]",True,2,True
conservative_06,"[3, 1]",True,3,True
conservative_06,"[3, 2]",True,4,True
conservative_06,"[3, 3]",True,5,True
conservative_06,"[4, 0]",True,3,True
conservative_06,"[4, 1]",True,4,True
conservative_06,"[4, 2]",True,5,True
conservative_06,"[5, 0]",True,4,True
conservative_06,"[5, 1]",True,5,True
conservative_06,"[6, 0]",True,5,True
conservative_07,"[0, 0]",False,1,True
conservative_07,"[0, 1]",False,1,True
conservative_07,"[0, 2]",False,2,True
conservative_07,"[0, 3]",True,3,True
conservative_07,"[0, 4]",True,4,True
conservative_07,"[0, 5]",True,5,True
conservative_07,"[0, 6]",True,6,True
conservative_07,"[1, 0]",False,1,True
conservative_07,"[1, 1]",False,1,True
conservative_07,"[1, 2]",True,2,True
conservative_07,"[1, 3]",True,3,True
conservative_07,"[1, 4]",True,4,True
conservative_07,"[1, 5]",True,5,True
conservative_07,"[2, 0]",True,1,True
conservative_07,"[2, 1]",True,1,True
conservative_07,"[2, 2]",True,2,True
conservative_07,"[2, 3]",True,3,True
conservative_07,"[2, 4]",True,4,True
conservative_07,"[3, 0]",True,1,True
conservative_07,"[3, 1]",True,1,True
conservative_07,"[3, 2]",True,2,True
conservative_07,"[3, 3]",True,3,True
conservative_07,"[4, 0]",True,1,True
conservative_07,"[4, 1]",True,1,True
conservative_07,"[4, 2]",True,2,True
conservative_07,"[5, 0]",True,1,True
conservative_07,"[5, 1]",True,1,True
conservative_07,"[6, 0]",True,1,True
conservative_08,"[0, 0]",True,1,True
conservative_08,"[0, 1]",True,2,True
conservative_08,"[0, 2]",True,3,True
conservative_08,"[0, 3]",True,4,True
conservative_08,"[0, 4]",True,5,True
conservative_08,"[0, 5]",True,6,True
conservative_08,"[0, 6]",True,7,True
conservative_08,"[1, 0]",True,1,True
conservative_08,"[1, 1]",True,2,True
conservative_08,"[1, 2]",True,3,True
conservative_08,"[1, 3]",True,4,True
conservative_08,"[1, 4]",True,5,True
conservative_08,"[1, 5]",True,6,True
